#Silhouette	HC0	0.1809879782950852
#Silhouette	HC10	0.2918458135015078
#Silhouette	HC20	0.3550132368066109
#Silhouette	HC30	0.49351282330848856
#Silhouette	HC40	0.5276486032579508
#Silhouette	HC50	0.5158303228355522
#Silhouette	HC60	0.6063108192454839
#Silhouette	HC70	0.5897991320297684
#Silhouette	HC80	0.5969486453665063
#Silhouette	HC90	0.6045042191554677
#Silhouette	HC100	0.5948129757881542
#Silhouette	HC110	0.5979419430381437
#Silhouette	HC120	0.6248983318222007
#Silhouette	HC130	0.617554995431084
#Silhouette	HC140	0.6257987897153295
#Silhouette	HC150	0.6027667405197663
#Silhouette	HC160	0.43407990790721585
#Silhouette	HC170	0.398221836785885
#Silhouette	HC180	0.398221836785885
#Silhouette	HC190	0.398221836785885
#Silhouette	HC200	0.40025640399524703
#Silhouette	HC210	0.40025640399524703
#Silhouette	HC220	0.40025640399524703
#Silhouette	HC230	0.40259971500760605
#Silhouette	HC240	0.40259971500760605
#Silhouette	HC250	0.46503905138429885
#Silhouette	HC260	0.46503905138429885
#Silhouette	HC270	0.46503905138429885
#Silhouette	HC280	0.46503905138429885
#Silhouette	HC290	0.6876131475009213
#Silhouette	HC300	0.6876131475009213
#Silhouette	HC310	0.6876131475009213
#Silhouette	HC320	0.6876131475009213
#Silhouette	HC330	0.6876131475009213
#Silhouette	HC340	0.6876131475009213
#Silhouette	HC350	0.6876131475009213
#Silhouette	HC360	0.6876131475009213
#Silhouette	HC370	0.6876131475009213
#Silhouette	HC380	0.6876131475009213
#Silhouette	HC390	0.6876131475009213
#Silhouette	HC400	0.6876131475009213
#Silhouette	HC410	0.6876131475009213
#Silhouette	HC420	0.6876131475009213
#Silhouette	HC430	0.6876131475009213
#Silhouette	HC440	0.6876131475009213
#Silhouette	HC450	0.6876131475009213
#Silhouette	HC460	0.6877363107578688
#Silhouette	HC470	0.6877363107578688
#Silhouette	HC480	0.6877363107578688
#Silhouette	HC490	0.6877363107578688
#Silhouette	HC500	0.7123392351254931
#Silhouette	HC510	0.7123392351254931
#Silhouette	HC520	0.7123392351254931
#Silhouette	HC530	0.7123392351254931
#Silhouette	HC540	0.7123392351254931
#Silhouette	HC550	0.7123392351254931
#Silhouette	HC560	0.9225533733840277
#Silhouette	HC570	0.9235243725041292
#Silhouette	HC580	0.9235243725041292
#Silhouette	HC590	0.9235243725041292
#Silhouette	HC600	0.9235243725041292
#Silhouette	HC610	0.9235243725041292
#Silhouette	HC620	0.9235243725041292
#Silhouette	HC630	0.9235243725041292
#Silhouette	HC640	0.9235243725041292
#Silhouette	HC650	0.9235243725041292
#Silhouette	HC660	0.9235243725041292
#Silhouette	HC670	0.9256316178163772
#Silhouette	HC680	0.9292231513406606
#Silhouette	HC690	0.9292231513406606
#Silhouette	HC700	0.9292231513406606
#Silhouette	HC710	0.9292231513406606
#Silhouette	HC720	0.9292231513406606
#Silhouette	HC730	0.9292231513406606
#Silhouette	HC740	0.9292231513406606
#Silhouette	HC750	0.9287572468996262
#Silhouette	HC760	0.9287572468996262
#Silhouette	HC770	0.9287572468996262
#Silhouette	HC780	0.9287572468996262
#Silhouette	HC790	0.9287572468996262
#Silhouette	HC800	0.9287572468996262
#Silhouette	HC810	0.9282401230589944
#Silhouette	HC820	0.9282401230589944
#Silhouette	HC830	0.9320215150776259
#Silhouette	HC840	0.9320215150776259
