#Silhouette	HC0	0.4729781099318636
#Silhouette	HC10	0.6758567663953482
#Silhouette	HC20	0.753468962504632
#Silhouette	HC30	0.7387488296791019
#Silhouette	HC40	0.9959770514805019
#Silhouette	HC50	0.9959770514805019
#Silhouette	HC60	0.9959770514805019
#Silhouette	HC70	0.9959770514805019
#Silhouette	HC80	0.9959770514805019
#Silhouette	HC90	0.9959770514805019
#Silhouette	HC100	0.9959770514805019
#Silhouette	HC110	0.9959770514805019
#Silhouette	HC120	0.9959770514805019
#Silhouette	HC130	0.9959770514805019
#Silhouette	HC140	0.9959770514805019
#Silhouette	HC150	0.9959770514805019
#Silhouette	HC160	0.9959770514805019
#Silhouette	HC170	0.9959770514805019
#Silhouette	HC180	0.9959770514805019
#Silhouette	HC190	0.9959770514805019
#Silhouette	HC200	0.9959770514805019
#Silhouette	HC210	0.9959770514805019
#Silhouette	HC220	0.9959770514805019
#Silhouette	HC230	0.9959770514805019
#Silhouette	HC240	0.9959770514805019
#Silhouette	HC250	0.9959770514805019
#Silhouette	HC260	0.9959770514805019
#Silhouette	HC270	0.9959770514805019
#Silhouette	HC280	0.9959770514805019
#Silhouette	HC290	0.9959770514805019
#Silhouette	HC300	0.9959770514805019
#Silhouette	HC310	0.9959770514805019
#Silhouette	HC320	0.9959770514805019
#Silhouette	HC330	0.9959770514805019
#Silhouette	HC340	0.9959770514805019
#Silhouette	HC350	0.9959770514805019
#Silhouette	HC360	0.9959770514805019
#Silhouette	HC370	0.9959770514805019
#Silhouette	HC380	0.9959770514805019
#Silhouette	HC390	0.9959770514805019
#Silhouette	HC400	0.9959770514805019
#Silhouette	HC410	0.9959770514805019
#Silhouette	HC420	0.9959770514805019
#Silhouette	HC430	0.9959770514805019
#Silhouette	HC440	0.9959770514805019
#Silhouette	HC450	0.9959770514805019
#Silhouette	HC460	0.9959770514805019
#Silhouette	HC470	0.9959770514805019
#Silhouette	HC480	0.9959770514805019
#Silhouette	HC490	0.9959770514805019
#Silhouette	HC500	0.9959770514805019
#Silhouette	HC510	0.9959770514805019
#Silhouette	HC520	0.9959770514805019
#Silhouette	HC530	0.9959770514805019
#Silhouette	HC540	0.9959770514805019
